"488nm525-40-A","488nm525-40-H"
221602,218771
1852.1,1960.3
2275.2,2036.4
1534.6,1324.1
2364.2,2380
1509.1,2100.2
1216.2,1452.8
-46.4,636.6
796.1,1061.1
987.3,1458.3
2391.9,2407.2
4277.1,4212.9
4795.8,5132.9
374.1,786.7
3066.7,3436.3
1840.2,2077.8
3560.3,3712.5
1465.1,1783.4
2399.1,2391.5
294.7,1112.8
695.6,1293.9
1802.4,1769.4
959.2,817.9
2059.2,1741.8
2192.6,1895
5195.4,4949.1
1359.4,1430.2
-63,890.3
2887,2596.3
3212.1,2864.5
1472.1,1557.9
754.6,1150
1789.3,1620.3
1002.8,1404
1189.1,1478.7
5479.1,5399.1
1656.1,1916.1
2237.7,2018.5
3689.2,3774.1
474.4,648.7
5122.6,5210.8
3232.2,3687.9
8000.9,8025.8
925.2,1586.1
3732.4,3783.3
5432.3,5729.2
601,1179.3
4011.6,4451.9
961.8,1143.4
889.1,842
1050.9,1305
2126.4,2542.2
1770.6,2097.7
15186.6,12862.2
8271.3,8273.1
7962.5,7913.7
6441.2,6305.7
505.2,765.4
2072.6,2459
668.1,1018.1
1178.7,1678.3
7561.3,7581.3
2472.2,2236.4
1619.6,1624.4
1329.2,1852.6
1011.1,1842.7
5645.3,5793.2
1314.9,1272.3
7254.9,7192.2
667.4,1008.4
1755.6,2049.7
2119.4,2152.2
1051.2,1418.6
4252.8,4309.3
582.8,881.2
3316,3606.8
3745.5,3965.8
1946.4,2162.2
749.6,924.3
12472.8,12139.1
449.6,474.7
2586.3,3137.8
2050.4,2361
1829.2,1818.3
1068,1080.2
34255.9,34485.4
1828.5,1904.5
9695.3,9339.5
925.7,1466.4
2454.2,2894
2309.5,2401.7
7221.1,6955.2
76.5,561.2
3407.7,3708.4
4812.2,4988
2431.7,2898.1
365.2,781.7
3716.4,3393.1
1674.1,1892.6
819.1,1245.1
7196.8,7306.3
2808.4,2671.2
1032.4,1754.1
942.6,956.9
2451.1,2338.5
4938.3,4724.9
1359.7,1349.8
3035.9,3199.1
3376.6,3338.6
6109.2,6139.8
943.6,799.5
1847.4,2009.4
7239.1,7007
391.4,830.2
1021.5,1210.3
5211,5187.7
2230.6,2373.9
2358.6,2438
4635.6,4974.7
636.5,567.6
25740.7,26286.1
2193.1,2626.8
3609.2,3807.9
7421.7,7122.1
29715.6,29739.9
2471,2538.2
2105.2,3525.3
1757.8,2361.1
5054.5,5153.4
801.4,726.5
1266.5,1189.7
